tid,name,pos,hgt,weight,imgURL,born/year,born/loc,contract/amount,contract/exp,draft/round,draft/pick,draft/tid,draft/originalTid,draft/year,college,ratings/0/hgt,ratings/0/stre,ratings/0/spd,ratings/0/jmp,ratings/0/endu,ratings/0/ins,ratings/0/dnk,ratings/0/ft,ratings/0/fg,ratings/0/tp,ratings/0/blk,ratings/0/stl,ratings/0/drb,ratings/0/pss,ratings/0/reb,ratings/0/pot,skills/0,skills/1,awards/0/season,awards/0/type,awards/1/season,awards/1/type,skills/2,injury/type,injury/gamesRemaining,firstName,lastName
0,Grant Long,PF,80,225,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687903Fr.jpg,1966,"Wayne, MI",1860,1998,2,8,13,13,1988,Eastern Michigan,67,90,43,93,85,69,70,73,63,62,43,56,44,42,92,59,,,,,,,,,,,
0,Steve Smith,SG,79,200,https://www.tradingcarddb.com/Images/Cards/Basketball/75407/75407-5344094Fr.jpg,1969,"Highland Park, MI",2568,1996,1,5,13,13,1991,Michigan State,46,51,77,83,90,43,81,74,92,83,37,54,63,74,66,67,,,,,,,,,,,
0,Mookie Blaylock,PG,72,180,http://www.tradingcarddb.com/Images/Cards/Basketball/25620/25620-3002825Fr.jpg,1967,"Garland, TX",2500,1998,1,12,16,16,1989,Oklahoma,12,43,84,80,88,36,86,77,74,89,23,90,82,88,56,65,3,B,,,,,,,,,
0,Andrew Lang,C,83,245,http://www.tradingcarddb.com/Images/Cards/Basketball/2153/2153-303Fr.jpg,1966,"Pine Bluff, AR",1964,1999,2,3,20,20,1988,Arkansas,83,87,36,68,70,75,83,68,62,10,62,31,37,43,77,58,,,,,,,,,,,
0,Stacey Augmon,GF,78,205,http://www.tradingcarddb.com/Images/Cards/Basketball/2422/2422-687208Fr.jpg,1968,"Pasadena, CA",2160,2000,1,9,0,0,1991,UNLV,54,53,76,86,70,50,76,74,65,43,38,64,60,55,62,64,,,,,,,,,,,
0,Ken Norman,PF,80,215,http://www.tradingcarddb.com/Images/Cards/Basketball/71940/71940-5160659Fr.jpg,1964,"Chicago, IL",2416,1999,1,19,11,11,1987,Illinois,68,84,53,58,75,67,65,65,45,51,77,56,57,53,64,58,,,,,,,,,,,
0,Craig Ehlo,SG,78,180,http://www.tradingcarddb.com/Images/Cards/Basketball/2346/2346-684298Fr.jpg,1961,"Lubbock, TX",1855,1996,3,1,9,9,1983,Washington State,52,48,55,53,57,74,32,40,52,71,33,61,65,52,39,58,,,,,,,,,,,
0,Alan Henderson,PF,81,235,http://www.tradingcarddb.com/Images/Cards/Basketball/2420/2420-261Fr.jpg,1972,"Indianapolis, IN",791,1998,1,16,0,0,1995,Indiana,72,68,55,59,67,64,63,70,65,0,58,43,24,54,73,59,,,,,,,,,,,
0,Spud Webb,PG,71,133,http://www.tradingcarddb.com/Images/Cards/Basketball/2346/2346-684501Fr.jpg,1963,"Dallas, TX",1800,1996,4,17,7,7,1985,NC State,5,59,72,89,66,40,85,65,56,15,15,50,66,70,45,58,,,,,,,,,,,
0,Howard Nathan,PG,73,160,http://i.imgur.com/mHjNons.png,1972,"Peoria, IL",200,1996,0,0,-1,-1,1995,Northwest Arkansas CC,14,48,74,43,55,42,54,77,65,10,12,58,71,78,32,55,,,,,,,,,,,
-1,Reggie Jordan,G,76,195,http://i.imgur.com/2Bwr0sN.png,1969,"Chicago, IL",225,1996,0,0,-1,-1,1991,New Mexico State,34,34,65,60,34,44,65,45,55,35,45,55,65,65,45,52,,,,,,,,,,,
